airline,origin,destination,missing_origin,missing_dest
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,浦东,洛杉矶,True,False
国货航,洛杉矶,浦东,False,True
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,浦东,河内,True,False
国货航,河内,浦东,False,True
国货航,浦东,阿姆斯特丹,True,False
国货航,阿姆斯特丹,浦东,False,True
国货航,浦东,巴黎,True,False
国货航,巴黎,浦东,False,True
国货航,浦东,米兰,True,False
国货航,米兰,浦东,False,True
国货航,浦东,纽约,True,False
国货航,纽约,浦东,False,True
国货航,浦东,纽约,True,False
国货航,纽约,浦东,False,True
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,浦东,芝加哥,True,False
国货航,芝加哥,浦东,False,True
国货航,广州,普雷斯蒂克,False,True
国货航,普雷斯蒂克,广州,True,False
国货航,普雷斯蒂克,广州,True,False
国货航,浦东,法兰克福,True,False
国货航,法兰克福,浦东,False,True
国货航,浦东,马德里巴拉哈斯,True,False
国货航,马德里巴拉哈斯,浦东,False,True
邮政航空,义乌,马尼拉,True,False
邮政航空,马尼拉,义乌,False,True
邮政航空,义乌,关西,True,False
邮政航空,关西,义乌,False,True
邮政航空,义乌,克拉克,True,True
邮政航空,克拉克,义乌,True,True
圆通航空,杭州,阿斯塔纳,False,True
圆通航空,阿斯塔纳,杭州,True,False
圆通航空,杭州,阿斯塔纳,False,True
圆通航空,阿斯塔纳,杭州,True,False
天津货航,郑州,克拉克,False,True
天津货航,克拉克,郑州,True,False
天津货航,深圳,克拉克,False,True
天津货航,克拉克,深圳,True,False
天津货航,郑州,克拉克,False,True
天津货航,克拉克,郑州,True,False
天津货航,南宁,克拉克,False,True
天津货航,克拉克,南宁,True,False
中州航空,鄂州,克拉克,False,True
中州航空,克拉克,鄂州,True,False
中州航空,鄂州,克拉克,False,True
中州航空,克拉克,鄂州,True,False
中州航空,天津,东米德兰兹,False,True
中州航空,东米德兰兹,天津,True,False
中州航空,成都,瓦茨拉夫哈维尔,False,True
中州航空,瓦茨拉夫哈维尔,成都,True,False
中州航空,成都,东米德兰兹,False,True
中州航空,东米德兰兹,成都,True,False
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,浦东,温哥华,True,False
南航,温哥华,浦东,False,True
南航,浦东,法兰克福,True,False
南航,法兰克福,浦东,False,True
南航,法兰克福,浦东,False,True
南航,悉尼,浦东,False,True
南航,浦东,芝加哥,True,False
南航,法兰克福,浦东,False,True
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,浦东,温哥华,True,False
南航,温哥华,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,悉尼,浦东,False,True
南航,悉尼,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,浦东,法兰克福,True,False
南航,浦东,温哥华,True,False
南航,温哥华,浦东,False,True
南航,浦东,法兰克福,True,False
南航,法兰克福,浦东,False,True
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,浦东,多伦多,True,False
南航,多伦多,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,悉尼,浦东,False,True
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,悉尼,浦东,False,True
南航,河内,浦东,False,True
南航,浦东,温哥华,True,False
南航,温哥华,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,浦东,法兰克福,True,False
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,浦东,洛杉矶,True,False
南航,洛杉矶,浦东,False,True
南航,浦东,洛杉矶,True,False
南航,洛杉矶,浦东,False,True
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,广州,普雷斯蒂克,False,True
南航,普雷斯蒂克,广州,True,False
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,广州,普雷斯蒂克,False,True
南航,普雷斯蒂克,广州,True,False
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,广州,菲利普安吉利斯,False,True
南航,菲利普安吉利斯,广州,True,False
南航,广州,菲利普安吉利斯,False,True
南航,菲利普安吉利斯,广州,True,False
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,广州,菲利普安吉利斯,False,True
南航,菲利普安吉利斯,广州,True,False
南航,浦东,洛杉矶,True,False
南航,洛杉矶,浦东,False,True
南航,浦东,阿姆斯特丹,True,False
南航,阿姆斯特丹,浦东,False,True
南航,悉尼,浦东,False,True
南航,浦东,温哥华,True,False
南航,温哥华,浦东,False,True
南航,浦东,芝加哥,True,False
南航,芝加哥,浦东,False,True
南航,浦东,洛杉矶,True,False
南航,洛杉矶,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,广州,普雷斯蒂克,False,True
南航,普雷斯蒂克,广州,True,False
南航,安克雷奇,浦东,False,True
南航,广州,普雷斯蒂克,False,True
南航,普雷斯蒂克,广州,True,False
南航,浦东,洛杉矶,True,False
南航,洛杉矶,浦东,False,True
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,广州,普雷斯蒂克,False,True
南航,普雷斯蒂克,广州,True,False
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,广州,斯坦斯特德,False,True
南航,斯坦斯特德,广州,True,False
南航,浦东,安克雷奇,True,False
南航,安克雷奇,浦东,False,True
南航,广州,菲利普安吉利斯,False,True
南航,菲利普安吉利斯,广州,True,False
